date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:51	97/97	---M-Z	200	added ('OK')	text/plain	date:Mon,%2014%20Sep%202020%2016:14:51%20GMT	https://md-ohidur-rahman.jimdosite.com/robots.txt		(from )
22:14:52	142130/142130	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202020%2016:14:52%20GMT	https://md-ohidur-rahman.jimdosite.com/	F:/python/Desktop/We/Md-ohidur-rahman/md-ohidur-rahman.jimdosite.com/index.html	(from )
22:14:53	133909/133909	---M-Z	200	added ('OK')	text/css	etag:%22b8c1ed25cb38c386fe7c6325beea0fa1%22	https://jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/b8c1ed25cb38c386fe7c.css	F:/python/Desktop/We/Md-ohidur-rahman/jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/b8c1ed25cb38c386fe7c.css	(from https://md-ohidur-rahman.jimdosite.com/)
22:14:54	99222/99222	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202020%2016:14:54%20GMT	https://md-ohidur-rahman.jimdosite.com/contact/	F:/python/Desktop/We/Md-ohidur-rahman/md-ohidur-rahman.jimdosite.com/contact/index.html	(from https://md-ohidur-rahman.jimdosite.com/)
22:14:54	10169/10169	---M-Z	200	added ('OK')	image/svg+xml	etag:%22e2466eb47a52cecf57907b22cd3d7660%22	https://jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/spotify-logo.e2466eb47a52cecf57907b22cd3d7660.svg	F:/python/Desktop/We/Md-ohidur-rahman/jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/spotify-logo.e2466eb47a52cecf57907b22cd3d7660.svg	(from https://jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/b8c1ed25cb38c386fe7c.css)
22:14:55	207212/207212	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202020%2016:14:54%20GMT	https://md-ohidur-rahman.jimdosite.com/about-me/	F:/python/Desktop/We/Md-ohidur-rahman/md-ohidur-rahman.jimdosite.com/about-me/index.html	(from https://md-ohidur-rahman.jimdosite.com/)
22:14:55	4329936/4329936	---M-Z	200	added ('OK')	application/javascript	etag:%2224b3b269140a7e99cf0475397028815e%22	https://jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/d43da2051783b3ae2b2d.js	F:/python/Desktop/We/Md-ohidur-rahman/jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/d43da2051783b3ae2b2d.js	(from https://md-ohidur-rahman.jimdosite.com/)
22:14:55	11955/11955	---M-Z	200	added ('OK')	image/svg+xml	etag:%22cf292ba1cd9cc81a3856a91f9e51a6b8%22	https://jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/soundcloud-logo.cf292ba1cd9cc81a3856a91f9e51a6b8.svg	F:/python/Desktop/We/Md-ohidur-rahman/jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/soundcloud-logo.cf292ba1cd9cc81a3856a91f9e51a6b8.svg	(from https://jimdo-dolphin-static-assets-prod.freetls.fastly.net/renderer/static/b8c1ed25cb38c386fe7c.css)
22:14:56	229242/229242	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202020%2016:14:55%20GMT	https://md-ohidur-rahman.jimdosite.com/portfolio/	F:/python/Desktop/We/Md-ohidur-rahman/md-ohidur-rahman.jimdosite.com/portfolio/index.html	(from https://md-ohidur-rahman.jimdosite.com/)
22:14:56	206694/206694	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202020%2016:14:56%20GMT	https://md-ohidur-rahman.jimdosite.com/privacy-policy/	F:/python/Desktop/We/Md-ohidur-rahman/md-ohidur-rahman.jimdosite.com/privacy-policy/index.html	(from https://md-ohidur-rahman.jimdosite.com/)
